X,Y,FL_den,0-10,10-20,20-30,30-40,40-50
4819418.0884,2580919.139745445,0.0,0,0,0,0,0
4829418.0884,2580919.139745445,0.0,0,0,0,0,0
4839418.0884,2580919.139745445,0.0,0,0,0,0,0
4849418.0884,2580919.139745445,0.0,0,0,0,0,0
4859418.0884,2580919.139745445,0.0,1,0,1,0,0
4869418.0884,2580919.139745445,0.0,2,0,1,0,1
4879418.0884,2580919.139745445,0.0,15,6,4,2,1
4889418.0884,2580919.139745445,0.0,14,5,11,4,1
4899418.0884,2580919.139745445,0.0,15,7,8,6,2
4909418.0884,2580919.139745445,4.6228822611738e-05,15,11,16,8,2
4919418.0884,2580919.139745445,7.601222750963643e-05,20,18,35,29,2
4929418.0884,2580919.139745445,0.0,30,28,36,33,2
4939418.0884,2580919.139745445,8.823547250358388e-05,47,30,37,38,3
4949418.0884,2580919.139745445,0.0001838582393247,53,29,26,14,2
4959418.0884,2580919.139745445,0.0001968148135347,45,29,26,13,1
4969418.0884,2580919.139745445,6.256988854147494e-05,30,23,18,8,0
4979418.0884,2580919.139745445,0.0,20,11,8,1,0
4989418.0884,2580919.139745445,0.0,21,10,2,1,1
4999418.0884,2580919.139745445,0.0,15,6,2,0,0
5009418.0884,2580919.139745445,0.0,6,1,1,0,0
4729418.0884,2570919.139745445,0.0,0,0,0,0,0
4739418.0884,2570919.139745445,0.0,0,0,0,0,0
4749418.0884,2570919.139745445,0.0,0,0,0,0,0
4759418.0884,2570919.139745445,0.0,0,0,0,0,0
4769418.0884,2570919.139745445,0.0,0,0,0,0,0
4779418.0884,2570919.139745445,0.0,0,0,0,0,0
4789418.0884,2570919.139745445,0.0,0,0,0,0,0
4799418.0884,2570919.139745445,0.0,0,0,0,0,0
4809418.0884,2570919.139745445,0.0,0,0,0,0,0
4819418.0884,2570919.139745445,0.0,0,0,0,0,0
4829418.0884,2570919.139745445,0.0,0,0,0,0,0
4839418.0884,2570919.139745445,0.0,0,0,0,0,0
4849418.0884,2570919.139745445,0.0,0,0,1,0,0
4859418.0884,2570919.139745445,0.0,1,2,2,1,0
4869418.0884,2570919.139745445,0.0,30,21,5,13,2
4879418.0884,2570919.139745445,0.0,49,32,16,32,3
4889418.0884,2570919.139745445,0.0,56,31,22,33,4
4899418.0884,2570919.139745445,0.0,48,28,20,20,4
4909418.0884,2570919.139745445,0.0,24,17,29,27,6
4919418.0884,2570919.139745445,0.0001384606584906,23,27,33,40,6
4929418.0884,2570919.139745445,0.0002360035286983,28,26,30,44,7
4939418.0884,2570919.139745445,0.0002173075772589,34,28,35,42,5
4949418.0884,2570919.139745445,9.7706782980822e-05,37,28,22,16,4
4959418.0884,2570919.139745445,9.96420858427882e-05,28,24,22,10,3
4969418.0884,2570919.139745445,5.0062964874086895e-05,22,20,18,5,0
4979418.0884,2570919.139745445,1.866332786448765e-05,11,4,4,1,0
4989418.0884,2570919.139745445,0.0,4,0,0,0,0
4999418.0884,2570919.139745445,0.0,1,0,0,0,0
5009418.0884,2570919.139745445,0.0,0,0,0,0,0
4729418.0884,2560919.139745445,0.0,0,0,0,0,0
4739418.0884,2560919.139745445,0.0,0,0,0,0,0
4749418.0884,2560919.139745445,0.0,0,0,0,0,0
4759418.0884,2560919.139745445,0.0,0,0,0,0,0
4769418.0884,2560919.139745445,0.0,0,0,0,0,0
4779418.0884,2560919.139745445,0.0,0,0,0,0,0
4789418.0884,2560919.139745445,0.0,0,0,0,0,0
4799418.0884,2560919.139745445,0.0,0,0,0,0,0
4809418.0884,2560919.139745445,0.0,0,0,0,0,0
4819418.0884,2560919.139745445,0.0,0,0,0,0,0
4829418.0884,2560919.139745445,0.0,0,0,0,0,0
4839418.0884,2560919.139745445,0.0,0,0,0,0,0
4849418.0884,2560919.139745445,0.0,0,0,1,0,0
4859418.0884,2560919.139745445,0.0,2,5,3,3,0
4869418.0884,2560919.139745445,0.0,46,47,18,35,2
4879418.0884,2560919.139745445,0.0,71,63,31,42,5
4889418.0884,2560919.139745445,0.0,87,75,38,48,7
4899418.0884,2560919.139745445,3.756244041142054e-05,75,56,36,37,9
4909418.0884,2560919.139745445,7.912507862783968e-05,41,33,43,47,9
4919418.0884,2560919.139745445,0.0001939044013852,41,31,47,59,8
4929418.0884,2560919.139745445,0.0003551174886524,43,34,48,65,7
4939418.0884,2560919.139745445,0.0003029696526937,53,32,47,55,8
4949418.0884,2560919.139745445,0.000132428802317,42,20,10,14,4
4959418.0884,2560919.139745445,0.0001009280094876,24,14,9,6,3
4969418.0884,2560919.139745445,2.9825880119460635e-05,11,5,4,2,2
4979418.0884,2560919.139745445,1.1468260709079912e-05,4,0,0,0,0
4989418.0884,2560919.139745445,0.0,0,0,0,0,0
4999418.0884,2560919.139745445,0.0,0,0,0,0,0
5009418.0884,2560919.139745445,0.0,0,0,0,0,0
4729418.0884,2550919.139745445,0.0,0,0,0,0,0
4739418.0884,2550919.139745445,0.0,0,0,0,0,0
4749418.0884,2550919.139745445,0.0,0,0,0,0,0
4759418.0884,2550919.139745445,0.0,0,0,0,0,0
4769418.0884,2550919.139745445,0.0,0,0,0,0,0
4779418.0884,2550919.139745445,0.0,0,0,0,0,0
4789418.0884,2550919.139745445,0.0,0,0,0,0,0
4799418.0884,2550919.139745445,0.0,0,0,0,0,0
4809418.0884,2550919.139745445,0.0,0,0,0,0,0
4819418.0884,2550919.139745445,0.0,0,0,0,0,0
