Mc_value,Mc_std,b_value,b_value_std,a_value,a_value_std,power_fit,Additional_Runs_b_std,Additional_Runs_Mc_std,failreason,nEvents_gt_local_Mc,RadiusKm,x,y,max_mag,Number_of_Events,was_evaluated
1.3,NaN,1.03305062298585,0.0769164743679314,3.43987582288966,NaN,NaN,NaN,NaN,NaN,125,14.9858602811152,-74.9014389976816,4.78720857311705,3.3,251,1
1.3,NaN,1.24084137686643,0.161174136090864,3.36128181693256,NaN,NaN,NaN,NaN,NaN,56,14.9834703708895,-74.9016802427272,4.96806933606801,2.9,143,1
1.4,NaN,1.62184661291671,0.241145308612936,3.92379777185873,NaN,NaN,NaN,NaN,NaN,45,14.9281051207754,-74.9019305465893,5.14892910977894,2.5,145,1
1.4,NaN,1.44764827301084,0.213986406496971,3.47386561355739,NaN,NaN,NaN,NaN,NaN,28,14.9286386801066,-74.902189921705,5.3297878586264,2.3,114,1
1.2,NaN,1.6013092628835,0.173617224904608,3.44008505533808,NaN,NaN,NaN,NaN,NaN,33,14.9266888066034,-74.9024583809707,5.51064554702881,1.8,83,1
1.2,NaN,1.59374121799359,0.229608066093639,3.51454945292026,NaN,NaN,NaN,NaN,NaN,40,14.9910615520639,-74.902735937744,5.69150213944793,2.3,91,1
1.6,NaN,2.3340936912862,0.271688249988305,5.51987974106868,NaN,NaN,NaN,NaN,NaN,61,14.9968888405981,-74.903022605845,5.87235760039023,2.6,255,1
1.6,NaN,2.66367282233994,0.414267678359725,5.62360435176149,NaN,NaN,NaN,NaN,NaN,23,14.6671126000275,-74.9033183995582,6.05321189440842,2.1,68,1
1.3,NaN,1.24084137686643,0.260917463696483,2.78918504898205,NaN,NaN,NaN,NaN,NaN,15,14.9127780098211,-74.9036233336343,6.23406498610285,2.2,36,1
1.5,NaN,1.60849808112315,0.807193845257343,3.43341674224538,NaN,NaN,NaN,NaN,NaN,5,14.9714826916459,-74.9039374232918,6.41491684012294,2.3,19,1
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9042606842189,6.59576742116867,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9045931325758,6.77661669399199,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.904934784996,6.95746462339826,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9052856585891,7.13831117424768,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9056457709424,7.31915631145671,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9060151401232,7.49999999999954,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9063937846811,7.68084220490948,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9067817236504,7.86168289128039,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.907178976552,8.04252202426811,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9075855633967,8.22335956909188,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9080015046865,8.40419549103574,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9084268214183,8.58502975544995,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9088615350859,8.76586232775241,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9093056676826,8.94669317343007,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9097592417045,9.1275222580403,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9102222801528,9.30834954721232,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9106948065368,9.48917500664859,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9111768448771,9.66999860212622,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9116684197085,9.8508202994983,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9121695560829,10.0316400646954,NaN,0,0
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-74.9126802795728,10.2124578637268,NaN,0,0
